id,man_id,model_name,is_car,is_moto,is_spec
14753,71,789,False,False,True
3179,105,790 Adventure,False,True,False
3180,105,790 Adventure R,False,True,False
3181,105,790 Duke,False,True,False
14757,71,793,False,False,True
14761,71,793F,False,False,True
14765,71,794 AC,False,False,True
14769,71,796 AC,False,False,True
14773,71,797F,False,False,True
14777,71,798 AC,False,False,True
19137,477,7X,True,False,False
1333,65,8,False,False,True
18365,65,8.163,False,False,True
30,2,80,True,False,False
16333,16,80 D-7E,False,False,True
5944,152,80 hp,False,False,True
997,35,800,True,False,False
8497,541,800 Vario,False,False,True
14389,71,8000,False,False,True
8839,579,8005,False,False,True
15385,110,8008,False,False,True
15465,110,8008 CTS,False,False,True
8365,236,800MT,False,True,False
6195,380,800W,False,True,False
15389,110,8010,False,False,True
15469,110,8010 CTS,False,False,True
6814,197,804,False,False,True
10698,345,804,False,False,True
9115,583,804 Fruit Garden,False,False,True
9119,583,804 Lux Cabin (CRD),False,False,True
9103,583,804.3 Orchard/Rops,False,False,True
9091,583,804.3e Cabin,False,False,True
9095,583,804.3e Platform/Canopy,False,False,True
9051,583,804.4 Lux Cabin,False,False,True
9111,583,804.4 Lux Platform/Canopy,False,False,True
9087,583,804.4 Orchard/Rops,False,False,True
9099,583,804.4e Cabin,False,False,True
9083,583,804.4e Platform/Canopy,False,False,True
9107,583,804.4e+ Platform/Canopy,False,False,True
924,32,806,True,False,False
8823,579,8065,False,False,True
925,32,807,True,False,False
8827,579,8075,False,False,True
8831,579,8085,False,False,True
8835,579,8095,False,False,True
4780,361,80cc,False,True,False
8875,579,8100,False,False,True
8859,579,8105,False,False,True
13459,25,811,False,False,True
8879,579,8110,False,False,True
3099,106,812 Millennium,False,True,False
6579,74,812 Superfast,True,False,False
14369,71,814,False,False,True
19559,25,814,False,False,True
14113,71,815,False,False,True
14089,71,816,False,False,True
8843,579,8165,False,False,True
8863,579,8170,False,False,True
8847,579,8175,False,False,True
526,24,818 Kombi,True,False,False
8867,579,8180,False,False,True
8851,579,8185,False,False,True
8871,579,8190,False,False,True
8855,579,8195,False,False,True
7558,120,82.1,False,False,True
7562,120,82.3,False,False,True
1966,35,820,True,False,False
2195,162,820,True,False,False
5845,117,820,False,False,True
7705,120,820,False,False,True
14393,71,8200,False,False,True
14373,71,824,False,False,True
1967,35,825,True,False,False
14109,71,825,False,False,True
14085,71,826,False,False,True
1968,35,827,True,False,False
14377,71,834,False,False,True
14093,71,836,False,False,True
96,3,840,True,False,False
14381,71,844,False,False,True
2598,81,848,False,True,False
5628,115,85,False,False,True
3182,105,85 SX,False,True,False
4808,121,85 XT,False,False,True
97,3,850,True,False,False
1188,43,850,True,False,False
3471,181,850 T,False,True,False
2599,81,851,False,True,False
9075,583,852e Platform/Canopy,False,False,True
4649,111,853,False,False,True
14385,71,854,False,False,True
9067,583,854 Lux Cabin,False,False,True
9079,583,854 Lux Platform/Canopy,False,False,True
9063,583,854e Cabin,False,False,True
9055,583,854e Platform/Canopy,False,False,True
9059,583,854e+ Cabin,False,False,True
9071,583,854e+ Platform/Canopy,False,False,True
15429,110,85Z,False,False,True
2645,81,860,False,True,False
5846,117,860,False,False,True
5847,117,860 Cobra,False,False,True
5848,117,860 Elite,False,False,True
5850,117,860S,False,False,True
5851,117,860SE,False,False,True
5852,117,860SX,False,False,True
4650,111,863,False,False,True
5853,117,865 Elektron,False,False,True
15433,110,86C,False,False,True
19427,115,8730,False,False,True
19423,115,8732,False,False,True
19419,115,8735,False,False,True
19415,115,8737,False,False,True
14397,71,8750,False,False,True
5629,115,88,False,False,True
5854,117,880 Elite,False,False,True
5855,117,880 SX,False,False,True
2646,81,888,False,True,False
9291,105,890 Duke ,False,True,False
7566,120,892,False,False,True
7570,120,892.2,False,False,True
2600,81,899 Pinagale,False,True,False
1621,1,8c,True,False,False
10382,41,8FBN15,False,False,True
5143,131,8m³,False,False,True
19411,115,8S 205,False,False,True
19407,115,8S 245,False,False,True
19403,115,8S 265,False,False,True
9399,132,8T,False,False,True
965,34,9,True,False,False
1334,65,9,False,False,True
18681,1229,9 (Open Top Connection),False,False,True
18685,1229,9 (Open Top),False,False,True
18689,1229,9 (Standart Box),False,False,True
3497,284,9 1/2,False,True,False
5893,154,9 SERIES,False,False,True
1002,36,9-3,True,False,False
1939,36,9-4 X,True,False,False
1003,36,9-5,True,False,False
1004,36,9-7 X,True,False,False
19169,1265,9.9HP,False,True,False
13,1,90,True,False,False
31,2,90,True,False,False
1005,36,90,True,False,False
4807,121,90 XT,False,False,True
13271,61,90 ZV,False,False,True
492,22,90/110,True,False,False
278,11,900,True,False,False
1006,36,900,True,False,False
3320,61,900 Super Four,False,True,False
8481,541,900 Vario,False,False,True
1007,36,9000,True,False,False
15005,71,903,False,False,True
5680,133,9035 E,False,False,True
15009,71,903D,False,False,True
6530,197,904,False,False,True
10702,345,904,False,False,True
9139,583,904 Lux Cabin,False,False,True
9143,583,904 Lux Cabin (CRD),False,False,True
9147,583,904 Lux Platform/Canopy,False,False,True
9127,583,904e Cabin,False,False,True
9123,583,904e Platform/Canopy,False,False,True
9135,583,904e+ Cabin,False,False,True
9131,583,904e+ Platform/Canopy,False,False,True
2647,81,906,False,True,False
15013,71,906,False,False,True
5681,133,906 D,False,False,True
2648,81,907,False,True,False
15017,71,907,False,False,True
15021,71,908,False,False,True
5682,133,908 E,False,False,True
5683,133,909 ECR,False,False,True
15437,110,90Z,False,False,True
15025,71,910,False,False,True
940,33,911,True,False,False
1982,33,912,True,False,False
1983,33,914,True,False,False
15029,71,914,False,False,True
5684,133,915 E,False,False,True
2649,81,916,False,True,False
1984,33,918,True,False,False
1975,33,918 Spyder,True,False,False
6391,395,919,False,False,True
15033,71,920,False,False,True
5685,133,922 E,False,False,True
941,33,924,True,False,False
5686,133,924E,False,False,True
5687,133,925 E,False,False,True
15037,71,926,False,False,True
15049,71,926M,False,False,True
15053,71,926M Aggregate Handler,False,False,True
942,33,928,True,False,False
5688,133,928 E,False,False,True
527,24,929,True,False,False
1976,33,930,True,False,False
15041,71,930,False,False,True
15057,71,930M,False,False,True
5689,133,933 E,False,False,True
5892,154,9340 TTW WARRIOR,False,False,True
5690,133,936 E,False,False,True
15045,71,938,False,False,True
15061,71,938M,False,False,True
1189,43,940,True,False,False
943,33,944,True,False,False
5691,133,945 E,False,False,True
5630,115,95,False,False,True
18529,1229,95 IQ,False,False,True
18481,1229,95 ST,False,False,True
1008,36,95 Station Wagon,True,False,False
18605,1229,95 TN,False,False,True
18641,1229,95 UW,False,False,True
5631,115,95 X,False,False,True
4806,121,95 XT,False,False,True
11766,858,950,False,False,True
15065,71,950,False,False,True
3183,105,950 Adventure,False,True,False
5692,133,950 E,False,False,True
15069,71,950 GC,False,False,True
3184,105,950 SM,False,True,False
7574,120,952,False,False,True
7578,120,952.3,False,False,True
14925,71,953,False,False,True
944,33,959,True,False,False
2601,81,959 Pinagale,False,True,False
1009,36,96,True,False,False
1190,43,960,True,False,False
5856,117,960 backhoe,False,False,True
5857,117,960 Elektron bachkoe,False,False,True
5858,117,960 Elite bachkoe ,False,False,True
1985,33,962,True,False,False
15073,71,962,False,False,True
14929,71,963,False,False,True
1977,33,964,True,False,False
5226,97,965,True,False,False
5859,117,965 Elektron bachkoe,False,False,True
5860,117,965 viking bachkoe ,False,False,True
5218,97,966,True,False,False
15077,71,966,False,False,True
15081,71,966 GC,False,False,True
15085,71,966 XE,False,False,True
13127,95,967,False,False,True
945,33,968,True,False,False
5217,97,968M,True,False,False
4984,97,969,True,False,False
13130,95,969,False,False,True
5632,115,97,False,False,True
5693,133,970 E,False,False,True
5861,117,970 Elite bachkoe,False,False,True
15089,71,972,False,False,True
15093,71,972 XE,False,False,True
14933,71,973,False,False,True
5633,115,98,False,False,True
15097,71,980,False,False,True
19267,113,980,False,False,True
5862,117,980 bachkoe,False,False,True
15101,71,980 XE,False,False,True
15105,71,982,False,False,True
15109,71,982 XE,False,False,True
4040,328,985,False,True,False
4041,328,986,False,True,False
15113,71,986,False,False,True
4042,328,987,False,True,False
15117,71,988,False,False,True
15125,71,988 GC,False,False,True
15121,71,988 XE,False,False,True
1010,36,99,True,False,False
15129,71,990,False,False,True
3185,105,990 Adventure,False,True,False
3186,105,990 SM,False,True,False
3187,105,990 Super Duke,False,True,False
1978,33,991,True,False,False
15133,71,992,False,False,True
1979,33,993,True,False,False
15137,71,993,False,False,True
15141,71,995,False,False,True
1980,33,996,True,False,False
2602,81,996,False,True,False
1981,33,997,True,False,False
2650,81,998,False,True,False
2603,81,999,False,True,False
5144,131,9m³,False,False,True
19399,115,9S 285,False,False,True
19395,115,9S 310,False,False,True
19391,115,9S 340,False,False,True
19387,115,9S 370,False,False,True
19383,115,9S 400,False,False,True
19379,115,9S 425,False,False,True
15525,110,9T-2,False,False,True
1486,84,A 1,True,False,False
476,21,A 112,True,False,False
16421,271,A 300,False,True,False
12931,1003,A 340,False,False,True
1483,84,A 5,True,False,False
6218,85,A 60,True,False,False
4591,208,A Series,False,False,True
2007,2,A1,True,False,False
5257,186,A104,False,False,True
5258,186,A114,False,False,True
5259,186,A124,False,False,True
5260,186,A134,False,False,True
32,2,A2,True,False,False
13651,194,A2 ,False,True,False
33,2,A3,True,False,False
3582,291,A30E125M,False,True,False
34,2,A4,True,False,False
15777,110,A45E,False,False,True
15781,110,A45EH,False,False,True
1508,2,A5,True,False,False
6426,397,A5,True,False,False
12919,1003,A580 ,False,False,True
35,2,A6,True,False,False
1688,2,A7,True,False,False
9411,132,A7,False,False,True
36,2,A8,True,False,False
12767,161,A800,True,False,False
5255,186,A84,False,False,True
5256,186,A94,False,False,True
