app_id,car_run_km,engine_volume,prod_year,cylinders,airbags
109492061,96800,3000,2017,6,6
109580205,133500,2000,2014,4,12
109345181,131200,2500,2019,4,10
109582993,134000,2500,2013,4,4
108813765,38500,3500,2022,8,12
109448989,259200,2400,2011,4,4
109585737,130000,3000,2015,6,9
108990729,129000,1500,2018,4,9
109585709,210000,1800,2012,4,9
109193453,24500,2000,2021,4,12
109586825,260000,2000,2013,4,2
109586989,144000,2500,2019,4,10
109078437,46500,2000,2018,4,9
109108213,112000,1400,2014,4,9
109588049,147500,2000,2018,4,9
109588081,182000,1300,2012,4,9
109492085,92800,2000,2018,4,6
108871113,107000,2000,2020,4,12
109553545,170904,2500,2018,4,12
109347697,65000,1400,2021,4,12
109588221,145000,2500,2015,4,9
109588761,33102,50,2022,1,12
108164825,220800,3500,2015,6,10
109588889,142099,2000,2014,4,8
109449817,40000,2500,2021,6,12
107914957,33000,50,2022,1,12
108545841,98000,3000,2020,6,6
108793161,164000,3500,2015,6,12
108803449,162115,2400,2015,4,10
109155109,182400,3000,2012,6,9
109589037,92800,1500,2020,4,4
109318653,110000,3000,2016,6,12
109589173,90000,4000,2021,6,12
108860441,80000,6200,2021,8,9
109016177,140000,2000,2015,6,6
108346465,112000,2000,2017,4,12
108871481,23000,2400,2019,6,9
108496881,113000,2500,2020,4,12
108334225,123109,1800,2013,4,6
104633262,48000,1500,2019,4,6
107929521,134896,2500,2017,4,8
107929601,85000,2500,2018,4,8
107960833,90853,2000,2019,4,8
108564949,108174,2000,2016,4,8
108637433,128878,2000,2019,4,8
108684461,113646,2500,2017,4,8
108882053,90000,100,2019,1,8
108882613,49000,1800,2021,4,8
108965597,127869,2000,2018,4,8
109089765,112533,2000,2018,4,8
109209705,154037,1500,2014,4,6
109492453,158352,1500,2016,4,6
109513089,147066,1500,2010,4,6
109323541,154326,2000,2017,4,8
109363149,162941,1500,2014,4,6
109554165,158286,1800,2015,4,6
109554561,75698,2000,2017,4,6
109449501,110352,1800,2013,4,6
109450049,110532,2000,2015,4,8
108915597,190000,2000,2013,4,5
108761341,162000,2000,2013,6,6
108721905,100000,1800,2017,6,7
109589513,377600,2000,2014,4,9
108911709,83000,0,2018,0,9
109579797,151000,1500,2015,5,5
109335669,115000,2500,2015,4,4
108915285,120000,2300,2009,4,6
108738949,240000,2500,2016,4,12
109428769,243200,3500,2015,6,12
108739037,212800,2500,2016,4,12
108461825,50350,2000,2018,4,12
109322261,147000,2500,2014,4,6
108945497,166000,3000,2014,6,6
108879369,161600,2000,2017,4,10
108646641,222000,1800,2016,4,9
108011213,1120,1600,2023,4,12
109080317,221000,3000,2010,6,9
108960069,97000,2000,2016,4,10
108993781,110000,2000,2021,4,12
109565709,191000,1800,2011,4,8
109590357,61900,2400,2018,4,12
109564517,110000,1500,2016,4,9
109590405,73000,3500,2016,8,9
109590433,92600,2500,2013,4,10
109590413,87000,2500,2019,4,12
107511093,0,3600,2022,6,9
109590541,400000,1800,2014,4,8
108891381,1700,100,2023,12,12
109400773,171200,2400,2015,4,9
109470509,133000,2000,2013,4,12
108661029,152000,3200,2015,6,9
109590589,116800,2400,2018,4,10
109339877,36000,1600,2021,4,9
109323153,191299,2000,2017,4,8
109577933,20000,1800,2020,4,12
109590777,203000,2500,2014,4,12
108870149,130000,2500,2018,4,8
109515181,171000,1800,2010,4,2
109590969,71000,2500,2015,4,12
109176433,219000,3500,2014,6,8
109059465,195000,2700,2006,6,4
108497837,69500,3000,2015,6,12
109325989,60034,2500,2021,4,5
108766921,120320,2500,2016,4,9
109579337,30492,2000,2021,4,9
109111637,97062,2500,2015,6,12
109551905,88000,1600,2021,4,8
109328301,76000,2500,2018,4,8
107756925,100000,3000,2017,5,8
109269517,89000,1600,2020,4,8
108967337,56000,2000,2015,4,8
109591309,74210,2500,2019,4,12
108451521,109000,2000,2015,4,8
109429881,123000,1500,2016,4,2
109335869,140000,1800,2014,4,12
109392733,132800,2500,2015,4,12
109506037,64724,2500,2021,4,12
109591641,150000,3500,2015,6,10
106469637,146000,3000,2016,6,12
109449613,211000,1800,2012,4,4
109024085,121000,3600,2016,6,12
109591957,124000,2000,2015,4,6
109500125,99000,1800,2015,4,12
109328437,148000,2500,2017,4,9
108633233,129000,2000,2014,4,9
