id,is_car,is_moto,is_spec,man_name
473,True,False,False, Arcfox
205,False,False,True, Farmtrac
1039,False,False,True, Fruehauf
1113,False,True,False, Hokii
894,False,False,True,Abbey
393,False,False,True,ABG
215,False,True,False,ABM
623,False,True,False,Access
682,False,False,True,Acma
70,True,False,False,Acura
766,False,False,True,Adraf
954,False,False,True,Agromasz 
345,False,False,True,AGT
145,False,True,False,Agusta
854,False,False,True,Ahlmann
642,True,False,False,Aion
1145,False,False,True,Airman 
1,True,False,False,Alfa Romeo
216,False,True,False,Alfer
441,True,False,False,AMC
217,False,True,False,American Ironhorse
1275,False,False,True,Antonio Carraro
218,False,True,False,Apollo
107,False,True,False,Aprilia
418,False,False,True,Arbos
565,False,True,False,Arctic Car
367,False,True,False,Argo
366,False,True,False,Ariic
219,False,True,False,Arlen Ness
220,False,True,False,Armada
690,False,False,True,Armadora
583,False,False,True,Armatrac
221,False,True,False,Asiawing
798,False,False,True,ASM Technology
76,True,False,False,Aston Martin
1013,False,False,True,Astra 
355,False,False,True,Atlas
810,False,True,False,ATV
2,True,False,False,Audi
222,False,True,False,Avantis
1181,True,False,False,Avatr
1129,False,True,False,Axis 
223,False,True,False,Azel
515,False,True,False,Azimut Yachts
400,True,False,False,Baic
1125,False,False,True,Baic Yinxiang 
225,False,True,False,Bajaj
999,False,False,True,Balkancar
226,False,True,False,Baltmotors
428,False,True,False,Bamx
450,False,True,False,Baodiao
227,False,True,False,Bars
354,False,True,False,Bashan
211,False,False,True,BCS
830,True,False,False,Beijing
120,False,False,True,Belarus
1165,False,True,False,Benda
352,False,True,False,Benelli
78,True,False,False,Bentley
1069,False,True,False,Benzhou 
190,False,True,False,Beta
229,False,True,False,Big Bear Choppers
230,False,True,False,Big Dog Motocycles
231,False,True,False,Bimota
232,False,True,False,Blata
1101,False,False,True,BMC
3,True,True,False,BMW
111,False,False,True,Bobcat
198,False,False,True,Bomag
1137,False,True,False,Bombardier 
233,False,True,False,Boom Trikes
234,False,True,False,Boss Hoss
152,False,False,True,Branson
204,False,False,True,Brenderoup
206,False,False,True,Brentex
207,True,False,False,Brilliance
822,False,False,True,Broshuis
124,False,True,False,BRP
224,False,True,False,BSE
